key,key:userAccount,employeeCode,phoneNumber,languageSkill,availabilityStatus,key:airline,salary,yearsOfExperience
# base entity
flight-crew-member-00,user-account-flight-crew-member-01,II000000,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,20
# phoneNumber - standard variations
flight-crew-member-01,user-account-flight-crew-member-02,LX000000,+123456,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,20
flight-crew-member-02,user-account-flight-crew-member-03,AA000000,+123456763,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,20
flight-crew-member-03,user-account-flight-crew-member-04,TA000000,+11111111111111,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,20
# languageSkill - standard variations
flight-crew-member-04,user-account-flight-crew-member-05,JIM000000,+11234567890,"L", "AVAILABLE",airline-00,EUR 500000.00,20
flight-crew-member-05,user-account-flight-crew-member-04,TA000001,+11234567890,"Lo", "AVAILABLE",airline-00,EUR 500000.00,20
flight-crew-member-06,user-account-flight-crew-member-04,TA000002,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","AVAILABLE",airline-00,EUR 500000.00,20
flight-crew-member-07,user-account-flight-crew-member-04,TA000003,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","AVAILABLE",airline-00,EUR 500000.00,20
# availabilityStatus -standard variations
flight-crew-member-08,user-account-flight-crew-member-04,TA000004,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","ON_VACATION",airline-00,EUR 500000.00,20
flight-crew-member-09,user-account-flight-crew-member-04,TA000005,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","ON_LEAVE",airline-00,EUR 500000.00,20
# salary - standard variations
flight-crew-member-10,user-account-flight-crew-member-04,TA000006,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 0.00,20
flight-crew-member-11,user-account-flight-crew-member-04,TA000007,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 0.01,20
flight-crew-member-12,user-account-flight-crew-member-04,TA000008,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 999999.99,20
flight-crew-member-13,user-account-flight-crew-member-04,TA000009,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 1000000.00,20

# yearsOfExperience - standard variations
flight-crew-member-14,user-account-flight-crew-member-04,TA000010,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,0
flight-crew-member-15,user-account-flight-crew-member-04,TA000011,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,1
flight-crew-member-16,user-account-flight-crew-member-04,TA000012,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,5
flight-crew-member-17,user-account-flight-crew-member-04,TA000013,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,119
flight-crew-member-18,user-account-flight-crew-member-04,TA000014,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,120
flight-crew-member-19,user-account-flight-crew-member-03,AA000001,+11234567890,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","AVAILABLE",airline-00,EUR 500000.00,null
