key,fullName,email,passportNumber,dateOfBirth,specialNeeds,draftMode,key:customer

# base entity
passenger-00,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-01

# fullName - variations
passenger-01,L,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,false,customer-01
passenger-02,Lo,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-01
passenger-03,Lorem ipsum dolor sit amet consectetur adipiscing elit,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-01
passenger-04,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-01
passenger-05,โลเร็ม อิปซัม,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-01
passenger-06,لوريم إيبسوم,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-01
passenger-07,洛伦·伊普森,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-08,<marquee>Hacked</marquee>,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-09,<script>alert(‘Hacked!’);</script>,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-10,' or 'A' = 'A,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02

# email - variations
passenger-11,Marco Polo,a@b.es,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-12,Marco Polo,acme@lorem-ipsum.org,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-13,Marco Polo,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-14,Marco Polo,a@b.esx,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02

# passportNumber - variations
passenger-15,Marco Polo,marco@gmail.com,A1A1A11,2004/02/24 06:54,Is blind,true,customer-02
passenger-16,Marco Polo,marco@gmail.com,AAAAAAAAA,2004/02/24 06:54,Is blind,true,customer-02
passenger-17,Marco Polo,marco@gmail.com,111111111,2004/02/24 06:54,Is blind,true,customer-02

# birthDate - variations
passenger-18,Marco Polo,marco@gmail.com,AAAA1234,2000/01/01 00:00,Is blind,true,customer-02
passenger-19,Marco Polo,marco@gmail.com,AAAA1234,2012/11/04 06:54,Is blind,true,customer-02
passenger-20,Marco Polo,marco@gmail.com,AAAA1234,2024/03/10 06:54,Is blind,true,customer-02

# specialNeeds - variations
passenger-21,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,L,true,customer-02
passenger-22,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,Lo,true,customer-02
passenger-23,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,Lorem ipsum dolor sit amet consectetur adipiscing,true,customer-02
passenger-24,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,Is blind,true,customer-02
passenger-25,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,โลเร็ม อิปซัม,true,customer-02
passenger-26,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,لوريم إيبسوم,true,customer-02
passenger-27,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,洛伦·伊普森,true,customer-02
passenger-28,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,<marquee>Hacked</marquee>,true,customer-02
passenger-29,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,<script>alert(‘Hacked!’);</script>,true,customer-02
passenger-30,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,' or 'A' = 'A,true,customer-02
passenger-31,Marco Polo,marco@gmail.com,AAAA1234,2004/02/24 06:54,NULL,true,customer-02
